Name;Station;Time(norwegian mean time);Snow depth
Hornsund;SN99754;04.05.1998;76
Hornsund;SN99754;05.05.1998;70
Hornsund;SN99754;06.05.1998;65
Hornsund;SN99754;07.05.1998;64
Hornsund;SN99754;08.05.1998;63
Hornsund;SN99754;09.05.1998;67
Hornsund;SN99754;10.05.1998;65
Hornsund;SN99754;11.05.1998;65
Hornsund;SN99754;12.05.1998;64
Hornsund;SN99754;13.05.1998;64
Hornsund;SN99754;14.05.1998;80
Hornsund;SN99754;15.05.1998;75
Hornsund;SN99754;16.05.1998;70
Hornsund;SN99754;17.05.1998;70
Hornsund;SN99754;18.05.1998;73
Hornsund;SN99754;19.05.1998;72
Hornsund;SN99754;20.05.1998;70
Hornsund;SN99754;21.05.1998;70
Hornsund;SN99754;22.05.1998;69
Hornsund;SN99754;23.05.1998;69
Hornsund;SN99754;24.05.1998;68
Hornsund;SN99754;25.05.1998;68
Hornsund;SN99754;26.05.1998;67
Hornsund;SN99754;27.05.1998;67
Hornsund;SN99754;28.05.1998;66
Hornsund;SN99754;29.05.1998;65
Hornsund;SN99754;30.05.1998;65
Hornsund;SN99754;31.05.1998;66
Hornsund;SN99754;01.07.1998;0
Hornsund;SN99754;02.07.1998;0
Hornsund;SN99754;03.07.1998;0
Hornsund;SN99754;04.07.1998;0
Hornsund;SN99754;05.07.1998;0
Hornsund;SN99754;06.07.1998;0
Hornsund;SN99754;07.07.1998;0
Hornsund;SN99754;08.07.1998;0
Hornsund;SN99754;09.07.1998;0
Hornsund;SN99754;10.07.1998;0
Hornsund;SN99754;11.07.1998;0
Hornsund;SN99754;12.07.1998;0
